TIME,FLIGHT,TO,AIRLINE,AIRCRAFT,,STATUS
19:50,AR1382,Montevideo (MVD),Aerolineas Argentinas,E190 (LV-CIE),,Departed 20:08
19:50,AR1464,Salta (SLA),Aerolineas Argentinas,E190 (LV-CIH),,Departed 20:10
19:50,FO5056,Mendoza (MDZ),Flybondi,B738 (LV-HKN),,Unknown
20:05,ZP819,Asuncion (ASU),Paranair,CRJ2 (ZP-CRR),,Departed 20:17
20:10,AR1262,Rio de Janeiro (GIG),Aerolineas Argentinas,B738 (LV-GVB),,Departed 20:21
20:15,AR1526,Rio Cuarto (RCU),Aerolineas Argentinas,E190 (LV-CHO),,Departed 21:09
20:20,G37693,Florianopolis (FLN),GOL Linhas Aereas,B38M (PS-GPH),,Departed 20:40
20:25,AR1488,Tucuman (TUC),Aerolineas Argentinas,B738 (LV-GFQ),,Departed 21:32
20:30,AR1610,Mar del Plata (MDQ),Aerolineas Argentinas,B38M (LV-KEJ),,Departed 20:49
20:30,AR1678,San Carlos de Bariloche (BRC),Aerolineas Argentinas,B38M (LV-KEI),,Departed 21:03
20:34,WJ3248,Mendoza (MDZ),JetSMART (Jaguar Livery),A320 (LV-HVT),,Departed 20:32
20:35,AR1708,Rosario (ROS),Aerolineas Argentinas,E190 (LV-CMB),,Departed 21:27
20:40,AR1622,Bahia Blanca (BHI),Aerolineas Argentinas,E190 (LV-CKZ),,Departed 20:58
20:45,AR1652,Neuquen (NQN),Aerolineas Argentinas,B738 (LV-GUB),,Departed 21:15
20:45,FO5110,Puerto Iguazu (IGR),Flybondi,B738 (LV-KCD),,Departed 18:55
20:50,FO5224,Tucuman (TUC),Flybondi,738,,Unknown
